Seção;Categoria;legenda categoria;nome 1;porcentagem 1;nome 2;porcentagem 2;nome 3;porcentagem 3;nome 4;porcentagem 4;nome 5;porcentagem 5;nome 6;porcentagem 6
Top of Top;Top of Top ;Diga a primeira marca que lhe vem a cabeça de algum produto ou serviço;Brastemp ;13,8 ;Omo ;9,5 ;Samsung ;5,5 ;Coca-Cola ;4,3 ;Nike ;3,5 ;;
Gastronomia;Pizzaria ;Qual o primeiro nome que lhe vem à cabeça quando se fala em pizzaria?;Pizza Z ;17,5 ;Pitigliano ;12,0 ;Pizza Hut ;8,0 ;Cento e Dez ;7,5 ;Scarolla ;6,0 ;;
Gastronomia;Confeitaria ;Qual o primeiro nome que lhe vem à cabeça quando se fala em confeitaria?;Della ;26,3 ;Richesse ;23,8 ;Panificadora Moreira ;4,3 ;Cravo e Canela ;3,3 ;Doce Paladar ;3,3 ;;
Gastronomia;Churrascaria;Qual o primeiro nome que lhe vem à cabeça quando se fala em churrascaria?;Gramado ;49,3 ;Walmor ;16,0 ;Favo de Mel ;10,8 ;Los Pampas ;6,8 ;Gaúcho ;2,3 ;;
Gastronomia;Cerveja artesanal ;Qual a primeira marca que lhe vem à cabeça quando se fala em cerveja artesanal?;Colombina ;15,8 ;Colorado ;1,0 ;;;;;;;;
Gastronomia;Empório ;Qual o primeiro nome que lhe vem à cabeça quando se fala em empório?;Piquiras ;26,0 ;Prime ;13,0 ;Empório Saccaria ;12,3 ;Casarão ;6,5 ;Della ;4,8 ;;
Automotivo;Marca de automóvel nacional ;Qual o primeiro nome que lhe vem à cabeça quando se fala em marca de automóvel nacional?;Volkswagen ;34,5 ;Fiat ;20,8 ;Chevrolet ;19,5 ;Ford ;12,5 ;Honda ;3,3 ;;
Automotivo;Concessionária Ford ;Qual o primeiro nome que lhe vem à cabeça quando se fala em concessionária Ford?;Navesa ;26,5 ;Ciaasa ;11,3 ;Parque ;3,8 ;Smaff ;1,8 ;Eufrásio ;0,5 ;;
Automotivo;Concessionária Chevrolet;Qual o primeiro nome que lhe vem à cabeça quando se fala em concessionária Chevrolet?;Cical ;21,8 ;Jorlan ;16,0 ;Sempre ;8,0 ;Tudo ;3,3 ;Planeta/ Goyaz Chevrolet ;1,0 ;;
Automotivo;Concessionária Volkswagen;Qual o primeiro nome que lhe vem à cabeça quando se fala em concessionária Volkswagen?;Saga ;36,3 ;Govesa ;17,5 ;Belcar ;11,5 ;;;;;;
