Seção;Categoria;legenda categoria;nome 1;porcentagem 1;nome 2;porcentagem 2;nome 3;porcentagem 3;nome 4;porcentagem 4;nome 5;porcentagem 5;nome 6;porcentagem 6
Top of Top ;Top of Top ;Qual o primeiro nome que lhe vem à cabeça de algum produto ou serviço?;Omo ;12,5 ;Arroz Cristal/ Cristal Alimentos ;6,2 ;Coca-Cola ;5,3 ;Bombril ;3,3 ;Ypê (produtos de limpeza) ;2,7 ;;
Produtos ;Supermercado ;Qual o primeiro nome que lhe vem à cabeça quando se fala em supermercado?;Bretas ;14,8 ;Carrefour;12,8 ;Tatico ;11,7;Barão ; 9,8 ;Extra ;5,8 ;;
Produtos ;Arroz ;Qual o primeiro nome que lhe vem à cabeça quando se fala em arroz?;Cristal ;80,2;Califórnia ;6,0 ;Tio Jorge ;5,5 ;Brejeiro ;1,8 ;Barão ;1,5 ;Liderança ;1,5 
Produtos ;Café ;Qual o primeiro nome que lhe vem à cabeça quando se fala em café?;Rancheiro ;31,5 ;Moinho Fino ;22,0 ;Três Poderes ;14,5 ;Do Sítio ;3,5 ;Bandeira ;3,2 ;;
Produtos ;Cerveja ;Qual o primeiro nome que lhe vem à cabeça quando se fala em cerveja?;Antárctica ;33,7 ;Skol ;31,2 ;Brahma ;11,0 ;Itaipava ;4,7 ;Heineken ;3,0 ;;
Produtos ;Refrigerante ;Qual o primeiro nome que lhe vem à cabeça quando se fala em refrigerante?;Coca-Cola ;68,8 ;Guaraná Antárctica ;17,2 ;Goianinho ;4,0 ;Fanta ;3,0 ;Mineiro ;1,8 ;;
Produtos ;Sorvete ;Qual o primeiro nome que lhe vem à cabeça quando se fala em marca de sorvete?;Kibon ;47,3 ;Creme Mel ;38,2 ;Nestlé ;4,8 ;Sorvemio ;0,5 ;Pinguim ;0,3 ;;
Produtos ;Manteiga ;Qual o primeiro nome que lhe vem à cabeça quando se fala em manteiga de leite?;Piracanjuba ;29,2 ;Itambé ;11,2 ;Compleite ;5,7 ;Itacolomy ;1,0 ;LeitBom ;0,8 ;;
Produtos ;Queijo ;Qual o primeiro nome que lhe vem à cabeça quando se fala em queijo?;Piracanjuba ;23,3 ;Sadia ;2,8 ;Itambé ;2,3 ;Compleite ;1,7 ;Mineiro ;1,0 ;;
Produtos ;Feijão ;Qual o primeiro nome que lhe vem à cabeça quando se fala em feijão?;Barão ;27,0 ;Cristal ;24,8 ;Dona Cota ;18,0 ;Tio Jorge ;5,5 ;Gogó ;3,3 ;;
Produtos ;Açúcar ;Qual o primeiro nome que lhe vem à cabeça quando se fala em açúcar?;Cristal ;78,0 ;Ibiá ;11,7 ;União ;2,7 ;Ecoçúcar ;1,3 ;Pérola ;0,8 ;;
Produtos ;Leite ;Qual o primeiro nome que lhe vem à cabeça quando se fala em leite?;Piracanjuba ;38,5 ;LeitBom ;18,5 ;Compleite ;15,3 ;Itambé ;11,7 ;Italac ;3,8 ;;
Produtos ;Farinha de trigo ;Qual o primeiro nome que lhe vem à cabeça quando se fala em farinha de trigo?;Emegê ;48,7 ;Cristal ;16,2 ;Dona Benta ;7,3 ;Ibiá ;1,8 ;Mabel ;1,3 ;;
Produtos ;Macarrão ;Qual o primeiro nome que lhe vem à cabeça quando se fala em macarrão?;Emegê ;58,8 ;Cristal ;15,8 ;Madremassas ;3,2 ;Liane ;1,7 ;Barilla ;1,5 ;;
Produtos ;Suco pronto para beber ;Qual o primeiro nome que lhe vem à cabeça quando se fala em marca de suco pronto para beber?;La Fruit ;35,3 ;Del Valle ;24,2 ;Maguary ;6,5 ;Saborelle ;2,5 ;Tampico ;1,7 ;;
Produtos ;Água mineral ;Qual o primeiro nome que lhe vem à cabeça quando se fala em água mineral?;Crystal ;19,7 ;Nativa ;11,0 ;Indaiá ;9,3 ;Iza ;6,0 ;Pura ;5,8 ;;
Produtos ;Indústria de alimentos ;Qual o primeiro nome que lhe vem à cabeça quando se fala em indústria de alimentos?;Cristal Alimentos/ Arroz Cristal ;27,5 ;Mabel ;21,0 ;Arisco ;6,8 ;Unilever ;4,3 ;Emegê ;3,2 ;;
Produtos ;Molho de pimenta ;Qual a primeira marca que lhe vem à cabeça quando se fala em molho de pimenta?;Gota (Maratá) ;22,8 ;Arisco ;5,7 ;Quero ;2,0 ;Brasinha ;0,7 ;Cica ;0,7 ;;
Produtos ;Carne de frango ;Qual a primeira marca que lhe vem à cabeça quando se fala em carne de frango?;Super Frango ;24,5 ;Só Frango ;17,8 ;Sadia ;15,8 ;Seara ;5,8 ;Frangó ;5,0 ;;
Produtos ;Carne bovina ;Qual a primeira marca que lhe vem à cabeça quando se fala em carne bovina?;Friboi ;72,8 ;JBS (grupo) ;4,7 ;Sadia ;0,8 ;Seara ;0,8 ;;;;
Comércio geral;Fornecimento de chopp em barril e locação de choppeira para festa ;Qual o primeiro nome que lhe vem à cabeça quando se fala em fornecimento de chopp em barril e locação de choppeira para festa?;Brahma ;19,2 ;Klaro Chopp ;12,2 ;Antarctica ;3,0 ;Skol ;2,7 ;Heineken ;1,8 ;;
Comércio geral;Loja de produtos para marcenaria ;Qual o primeiro nome que lhe vem à cabeça quando se fala em loja de produtos para marcenaria?;Casa do Marceneiro ;26,7 ;Casa do Pica-Pau ;2,8 ;Tend Tudo ;1,8 ;Leroy Merlin ;1,7 ;Madeireira Tobias ;1,5 ;;
Comércio geral;Loja de materiais para construção ;Qual o primeiro nome que lhe vem à cabeça quando se fala em loja de materiais para construção?;Irmãos Soares ;19,0 ;São Jorge ;18,5 ;Tend Tudo ;7,8 ;Sebba ;7,2 ;Rede da Construção ;4,3 ;;
Comércio geral;Loja de produtos de informática ;Qual o primeiro nome que lhe vem à cabeça quando se fala em loja de produtos de informática?;Primetek ;20,2 ;Fujioka ;8,8 ;Casas Bahia ;1,7 ;Infratech ;1,3 ;TNove Informática ;1,2 ;High Tech ;1,2 
Comércio geral;Loja de móveis e eletrodomésticos ;Qual o primeiro nome que lhe vem à cabeça quando se fala em loja de móveis e eletrodomésticos?;Novo Mundo ;36,2 ;Casas Bahia ;27,3 ;Ricardo Eletro ;19,3 ;Rede do Ratinho ;4,2 ;Eletrosom ;2,0 ;Ponto Frio ;2,0 
Comércio geral;Panificadora ;Qual o primeiro nome que lhe vem à cabeça quando se fala em panificadora?;Della ;24,5 ;Panificadora Moreira ;12,0 ;América ;2,8 ;Pão Quentão ;2,2 ;Maná ;2,0 ;;
