Seção;categoria;legenda categoria;nome 1;porcentagem 1;nome 2;porcentagem 2;nome 3;porcentagem 3;nome 4;porcentagem 4;nome 5;porcentagem 5;nome 6;porcentagem 6;;;;;;;;
Top of Top ;Top of Top ;No meio rural, do agronegócio, qual a primeira marca ou loja que lhe vem a cabeça de algum produto ou serviço?;Comigo ;9,7 ;Agroquima ;8,7 ;Bayer ;5,3 ;John Deere ;4,0;Boi Forte ;3,7 ;;;;;;;;;;
Equipamentos, implementos e ferramentas;Caminhote ;Qual a primeira marca que lhe vem à cabeça quando se fala em caminhonete?;Toyota ;44,7 ;Chevrolet ;22,3 ;Ford ;14,7 ;Mitsubishi ;8,0 ;Volkswagen ;6,0 ;;;;;;;;;;
Equipamentos, implementos e ferramentas;Bateria ;Qual a primeira marca que lhe vem à cabeça quando se fala em bateria?;Moura ;57,0 ;Heliar ;31,3 ;ACDelco/ Delco ;4,7 ;Tudor ;0,7 ;Craal ;0,7 ;;;;;;;;;;
Equipamentos, implementos e ferramentas;Trator ;Qual a primeira marca que lhe vem à cabeça quando se fala em trator?;Massey Ferguson ;39,7 ;John Deere ;27,0 ;Valmet - Valtra ;20,0 ;Ford New Holland ;8,0 ;Case ;3,0 ;;;;;;;;;;
Equipamentos, implementos e ferramentas;Pneus agrícolas ;Qual a primeira marca que lhe vem à cabeça quando se fala em pneus agrícolas?;Pirelli ;45,0 ;Goodyear ;23,7 ;Michelin ;11,7 ;Firestone ;7,7 ;Bridgestone ;1,7 ;Dunlop ;1,7 ;;;;;;;;
Equipamentos, implementos e ferramentas;Arame ;Qual a primeira marca que lhe vem à cabeça quando se fala em arame?;Belgo ;45,3 ;Gerdau ;26,3 ;Morlan ;6,3 ;Motto ;3,3 ;;;;;;;;;;;;
Equipamentos, implementos e ferramentas;Revenda de máquinas e implementos agrícolas ;Qual o primeiro nome que lhe vem à cabeça quando se fala em revenda de máquinas e implementos agrícolas?;Casa do Pica-Pau ;19,0 ;Planalto ;17,0 ;Somafértil ;7,7 ;Carpal ;6,7 ;Martins e Sobrinho ;3,7 ;;;;;;;;;;
Pecuária e criação;Marca de semente selecionada para pastagem ;Qual o primeiro nome que lhe vem à cabeça quando se fala em marca de semente selecionada para pastagem?;Matsuda ;10,7 ;Agroquima ;10,0 ;Santa Fé ;8,3 ;Agrosol ;7,3 ;Globo Rural ;3,0 ;;;;;;;;;;
Pecuária e criação;Sal mineral ;Qual a primeira marca que lhe vem à cabeça quando se fala em sal mineral?;Tortuga/ Fosbovi ;20,7 ;Fosquima/ Agroquima ;20,0 ;Comigo ;12,0 ;Matsuda ;3,7 ;;;;;;;;;;;;
Comércio e medicamentos;Loja de barcos e lanchas ;Qual o primeiro nome que lhe vem à cabeça quando se fala em loja de barcos e lanchas?;Calaça ;13,7 ;Araguaia Náutica ;4,0 ;Pier Náutica ;3,7 ;Marreco ;3,0 ;Vila Náutica ;2,0 ;Barcos Fisher ;2,0 ;;;;;;;;
Comércio e medicamentos;Loja de produtos agropecuários ;Qual o primeiro nome que lhe vem à cabeça quando se fala em loja de produtos agropecuários?;Comigo ;14,7 ;Casa do Pecuarista ;7,3 ;Agroquima ;6,7 ;Boi Forte ;6,7 ;Alvorada ;5,7 ;;;;;;;;;;
Comércio e medicamentos;Loja de nutrição animal ;Qual o primeiro nome que lhe vem à cabeça quando se fala em loja de nutrição animal?;Comigo ;14,0;Agroquima ;11,0;Integral;5,3 ;Nutroeste;5,0;Boi Forte ;3,0 ;;;;;;;;;;
Comércio e medicamentos;Vacina ;Qual o primeiro nome que lhe vem à cabeça quando se fala em marca de vacina?;Vallée ;42,7 ;Pfizer ;8,7 ;Merial/Rhodia ;6,0 ;Ouro Fino ;4,3 ;Bayer ;4,3 ;;;;;;;;;;
Comércio e medicamentos;Vermífugo ;Qual o primeiro nome que lhe vem à cabeça quando se fala em marca de vermífugo?;Ivomec ;25,3 ;Vallée (laboratório) ;13,7 ;Bayer (laboratório) ;7,3 ;Ouro Fino (laboratório) ;6,7 ;;;;;;;;;;;;
Agricultura;Fertilizante/ adubo ;Qual a primeira marca que lhe vem à cabeça quando se fala em fertilizante/ adubo?;Araguaia ;32,3 ;Heringer ;12,0 ;Comigo ;7,7 ;Fertigran ;4,0 ;Mosaic ;3,3 ;;;;;;;;;;
Agricultura;Defensivo agrícola;Qual a primeira marca que lhe vem à cabeça quando se fala em defensivo agrícola?;Tordon/ Dow Agrosciences ;21,3 ;Bayer ;16,7 ;Roundup/ Monsanto ;7,7 ;Syngenta ;6,3 ;;;;;;;;;;;;
Indústria e Produtos Derivados;Laticínio ;Qual o primeiro nome que lhe vem à cabeça quando se fala em laticínio?;Piracanjuba ;36,3 ;Itambé ;9,0 ;Italac ;6,3 ;Nestlé ;6,3 ;Complem ;5,0 ;;;;;;;;;;
Indústria e Produtos Derivados;Granja de ovos ;Qual o primeiro nome que lhe vem à cabeça quando se fala em granja de ovos?;Saito ;16,7 ;Josidith ;14,7 ;Loyola ;7,7 ;Gaasa ;4,7 ;;;;;;;;;;;;
Indústria e Produtos Derivados;Cooperativa agrícola ;Qual o primeiro nome que lhe vem à cabeça quando se fala em cooperativa agrícola?;Comigo ;53,3 ;Coapil ;5,3 ;Complem ;4,3 ;Comiva ;2,7 ;Coperbelgo ;2,3 ;;;;;;;;;;
Indústria e Produtos Derivados;Indústria de alimentos ;Qual o primeiro nome que lhe vem à cabeça quando se fala em indústria de alimentos?;Cristal ;22,3 ;Comigo ;5,3 ;Mabel ;4,7 ;Caramuru ;4,3 ;Arisco ;4,0 ;;;;;;;;;;
Indústria e Produtos Derivados;Frigorífico ;Qual o primeiro nome que lhe vem à cabeça quando se fala em frigorífico?;Minerva ;23,0 ;JBS ;21,0 ;Friboi ;18,7 ;Marfrig ;10,3 ;Terra Boi ;3,3 ;;;;;;;;;;
Indústria e Produtos Derivados;Queijo ;Qual a primeira marca que lhe vem à cabeça quando se fala em queijo?;Piracanjuba ;46,3 ;Complem/ Compleite ;5,0 ;Itambé ;3,7 ;Comigo ;3,0 ;;;;;;;;;;;;
